iter	Passed	Remaining
248	10982	6659
249	11017	6610
250	11060	6565
251	11111	6525
252	11155	6481
253	11199	6437
254	11234	6388
255	11284	6347
256	11324	6301
257	11363	6254
258	11404	6208
259	11442	6161
260	11487	6118
261	11526	6071
262	11562	6023
263	11600	5976
264	11638	5928
265	11675	5881
266	11718	5837
267	11761	5792
268	11804	5748
269	11856	5708
270	11922	5675
271	11976	5636
272	12020	5592
273	12071	5551
274	12119	5509
275	12180	5472
276	12230	5430
277	12282	5389
278	12331	5347
279	12388	5309
280	12430	5264
281	12478	5221
282	12516	5174
283	12565	5132
284	12607	5087
285	12659	5046
286	12714	5006
287	12763	4963
288	12812	4920
289	12861	4878
290	12919	4839
291	12967	4796
292	13022	4755
293	13079	4715
294	13155	4682
295	13224	4646
296	13286	4607
297	13342	4566
298	13396	4525
299	13451	4483
300	13500	4440
301	13551	4397
302	13600	4353
303	13653	4311
304	13702	4267
305	13748	4223
306	13786	4176
307	13835	4132
308	13891	4091
309	13933	4045
310	13978	4000
311	14020	3954
312	14066	3909
313	14123	3868
314	14181	3826
315	14238	3784
316	14286	3740
317	14337	3697
318	14390	3654
319	14431	3607
320	14476	3562
321	14522	3517
322	14569	3473
323	14613	3427
324	14673	3386
325	14736	3345
326	14793	3302
327	14850	3259
328	14908	3217
329	14956	3172
330	14998	3126
331	15054	3083
332	15110	3040
333	15161	2995
334	15205	2950
335	15267	2908
336	15334	2866
337	15387	2822
338	15445	2779
339	15493	2734
340	15541	2689
341	15589	2643
342	15644	2599
343	15711	2557
344	15761	2512
345	15803	2466
346	15845	2420
347	15898	2375
348	15948	2330
349	15991	2284
350	16032	2238
351	16073	2191
352	16114	2145
353	16150	2098
354	16189	2052
355	16227	2005
356	16267	1959
357	16312	1913
358	16351	1867
359	16402	1822
360	16441	1776
361	16479	1729
362	16523	1684
363	16569	1638
364	16631	1594
365	16675	1549
366	16718	1503
367	16766	1457
368	16802	1411
369	16845	1365
370	16888	1320
371	16938	1274
372	16977	1228
373	17021	1183
374	17061	1137
375	17103	1091
376	17148	1046
377	17188	1000
378	17236	955
379	17282	909
380	17327	864
381	17372	818
382	17408	772
383	17442	726
384	17488	681
385	17529	635
386	17572	590
387	17614	544
388	17647	499
389	17688	453
390	17732	408
391	17772	362
392	17815	317
393	17849	271
394	17893	226
395	17933	181
396	17965	135
397	18003	90
398	18045	45
399	18090	0
